DATE 	LAT 	LON 	magni 	DEPTHkm 	REGION
14-JUN-2012 03:17:15 	33.91 	-117.78 	4.1 	5.9 	SOUTHERN CALIFORNIA
14-JUN-2012 02:17:29 	-3.68 	128.83 	4.5 	58.2 	SERAM, INDONESIA
14-JUN-2012 00:35:32 	-55.73 	-26.77 	4.2 	11.3 	SOUTH SANDWICH ISLANDS REGION
13-JUN-2012 23:26:55 	51.62 	-173.20 	4.2 	45.9 	ANDREANOF ISLANDS, ALEUTIAN IS.
13-JUN-2012 23:25:49 	1.50 	94.21 	4.4 	8.9 	OFF W COAST OF NORTHERN SUMATERA
13-JUN-2012 22:24:11 	39.58 	143.64 	4.3 	27.8 	OFF EAST COAST OF HONSHU, JAPAN
13-JUN-2012 16:54:08 	-49.63 	126.39 	4.6 	10.0 	WESTERN INDIAN-ANTARCTIC RIDGE
13-JUN-2012 15:12:56 	36.47 	71.17 	4.0 	113.3 	AFGHANISTAN-TAJIKISTAN BORD REG.
13-JUN-2012 13:38:34 	45.26 	148.57 	4.5 	121.1 	KURIL ISLANDS
13-JUN-2012 10:31:47 	53.82 	158.71 	4.8 	133.8 	NEAR EAST COAST OF KAMCHATKA
13-JUN-2012 10:11:22 	33.19 	137.41 	4.5 	357.4 	NEAR S. COAST OF HONSHU, JAPAN
13-JUN-2012 08:59:09 	36.44 	29.06 	4.1 	41.0 	TURKEY
13-JUN-2012 08:22:21 	24.73 	121.23 	4.2 	10.0 	TAIWAN
13-JUN-2012 07:06:42 	-55.80 	-28.41 	5.7 	62.6 	SOUTH SANDWICH ISLANDS REGION
13-JUN-2012 06:36:18 	35.61 	-96.57 	4.1 	5.0 	OKLAHOMA
13-JUN-2012 06:21:36 	35.54 	-97.26 	4.4 	4.6 	OKLAHOMA
13-JUN-2012 00:00:09 	11.02 	-85.91 	4.2 	36.7 	NICARAGUA
12-JUN-2012 23:11:25 	-3.76 	128.78 	4.0 	35.0 	SERAM, INDONESIA
12-JUN-2012 21:58:12 	36.31 	29.04 	4.3 	35.0 	TURKEY
12-JUN-2012 21:56:39 	26.78 	128.33 	4.2 	9.8 	RYUKYU ISLANDS
12-JUN-2012 19:54:17 	-0.20 	123.11 	4.9 	87.0 	MINAHASSA PENINSULA, SULAWESI
12-JUN-2012 19:03:36 	6.56 	123.55 	4.5 	620.3 	MINDANAO, PHILIPPINE ISLANDS
12-JUN-2012 19:01:07 	-20.31 	-173.80 	4.8 	36.7 	TONGA ISLANDS
12-JUN-2012 18:17:01 	56.54 	-168.38 	4.3 	10.3 	PRIBILOF ISLANDS
12-JUN-2012 17:02:03 	23.70 	94.29 	4.6 	59.6 	MYANMAR-INDIA BORDER REGION
12-JUN-2012 15:59:37 	-3.69 	128.81 	4.5 	18.1 	SERAM, INDONESIA
12-JUN-2012 15:16:39 	47.71 	146.95 	4.3 	420.8 	NORTHWEST OF KURIL ISLANDS
12-JUN-2012 13:49:46 	-36.62 	178.80 	4.3 	77.9 	OFF E. COAST OF N. ISLAND, N.Z.
12-JUN-2012 13:48:34 	-31.70 	-178.66 	5.1 	46.3 	KERMADEC ISLANDS REGION
12-JUN-2012 13:40:42 	28.11 	104.42 	4.7 	21.6 	SICHUAN, CHINA
12-JUN-2012 13:13:59 	-55.99 	-27.46 	4.6 	114.6 	SOUTH SANDWICH ISLANDS REGION
12-JUN-2012 13:13:11 	15.39 	-93.06 	4.6 	94.1 	NEAR COAST OF CHIAPAS, MEXICO
12-JUN-2012 11:12:48 	37.35 	142.19 	4.2 	31.4 	OFF EAST COAST OF HONSHU, JAPAN
12-JUN-2012 08:13:44 	34.84 	141.42 	4.6 	35.0 	OFF EAST COAST OF HONSHU, JAPAN
12-JUN-2012 07:23:38 	-14.23 	-72.73 	4.3 	72.4 	CENTRAL PERU
12-JUN-2012 05:59:39 	-5.68 	105.47 	5.4 	172.5 	SUNDA STRAIT
12-JUN-2012 05:12:11 	29.72 	50.71 	4.4 	34.1 	SOUTHERN IRAN
12-JUN-2012 01:48:36 	44.91 	10.98 	4.1 	4.8 	NORTHERN ITALY
11-JUN-2012 23:37:36 	-17.83 	-69.80 	4.9 	87.9 	PERU-BOLIVIA BORDER REGION
11-JUN-2012 23:19:43 	-40.81 	-87.76 	4.7 	10.0 	WEST CHILE RISE
11-JUN-2012 16:09:59 	-50.29 	112.43 	4.2 	10.0 	SOUTHEAST INDIAN RIDGE
11-JUN-2012 15:54:02 	31.29 	103.56 	4.0 	27.9 	SICHUAN, CHINA
11-JUN-2012 14:34:35 	-43.53 	172.68 	4.2 	8.8 	SOUTH ISLAND, NEW ZEALAND
11-JUN-2012 13:37:30 	-50.35 	112.56 	4.4 	10.0 	SOUTHEAST INDIAN RIDGE
11-JUN-2012 13:31:47 	6.73 	123.75 	4.8 	618.8 	MINDANAO, PHILIPPINE ISLANDS
11-JUN-2012 13:03:19 	-60.59 	-26.92 	4.3 	35.0 	SOUTH SANDWICH ISLANDS REGION
11-JUN-2012 11:12:47 	-27.51 	-176.76 	4.3 	37.9 	KERMADEC ISLANDS REGION
11-JUN-2012 10:33:12 	40.13 	142.52 	4.3 	58.8 	NEAR EAST COAST OF HONSHU, JAPAN
